# The joyo (Japan general use) kanji with their meanings and readings.
# are subsets of Unihan deemed to be general use (e.g. obscure meanings and readings are left out).
# Copied from https://en.wikipedia.org/wiki/List_of_j%C5%8Dy%C5%8D_kanji, which was copied from https://www.bunka.go.jp/kokugo_nihongo/sisaku/joho/joho/kijun/naikaku/pdf/joyokanjihyo_20101130.pdf.
number,new,old,radical,strokes,grade,year_added,English_meaning,on-yomi,kun-yomi
116,奥,奧,大,12,S,,heart,オウ,おく
117,横,橫,木,15,3,,side,オウ,よこ
118,岡,,山,8,S,2010,hill,,（おか）
119,屋,,尸,9,3,,roof,オク,や
120,億,,人,15,4,,hundred million,オク,
121,憶,,心,16,S,,recollection,オク,
122,臆,,肉,17,S,2010,timidity,オク,
123,虞,,虍,13,S,,uneasiness,,おそれ
124,乙,,乙,1,S,,the latter,オツ,
125,俺,,人,10,S,2010,I|we,,おれ
126,卸,,卩,9,S,,wholesale,,おろ-す|おろし
127,音,,音,9,1,,sound,オン|イン,おと|ね
128,恩,,心,10,5,,grace,オン,
129,温,溫,水,12,3,,warm,オン,あたた-か|あたた-かい|あたた-まる|あたた-める
130,穏,穩,禾,16,S,,calm,オン,おだ-やか
131,下,,一,3,1,,below,カ|ゲ,した|しも|もと|さ-げる|さ-がる|くだ-る|くだ-す|くだ-さる|お-ろす|お-りる
132,化,,匕,4,3,,change,カ|ケ,ば-ける|ば-かす
133,火,,火,4,1,,fire,カ,ひ|（ほ）
134,加,,力,5,4,,add,カ,くわ-える|くわ-わる
135,可,,口,5,5,,possible,カ,
136,仮,假,人,6,5,,temporary,カ|（ケ）,かり
137,何,,人,7,2,,what,カ,なに|（なん）
138,花,,艸,7,1,,flower,カ,はな
139,佳,,人,8,S,,excellent,カ,
140,価,價,人,8,5,,value,カ,あたい
141,果,,木,8,4,,fruit,カ,は-たす|は-てる|は-て
142,河,,水,8,5,,river,カ,かわ
143,苛,,艸,8,S,2010,torment,カ,
144,科,,禾,9,2,,section,カ,
145,架,,木,9,S,,rack,カ,か-ける|か-かる
146,夏,,夊,10,2,,summer,カ|（ゲ）,なつ
147,家,,宀,10,2,,house,カ|ケ,いえ|や
148,荷,,艸,10,3,,luggage,カ,に
149,華,,艸,10,S,,splendor,カ|（ケ）,はな
150,菓,,艸,11,S,,confectionery,カ,
151,貨,,貝,11,4,,freight,カ,
152,渦,,水,12,S,1981,whirlpool,カ,うず
153,過,,辵,12,5,,go beyond,カ,す-ぎる|す-ごす|あやま-つ|あやま-ち
154,嫁,,女,13,S,,marry into,カ,よめ|とつ-ぐ
155,暇,,日,13,S,,spare time,カ,ひま
156,禍,禍,示,13,S,,calamity,カ,
157,靴,,革,13,S,1981,shoes,カ,くつ
158,寡,,宀,14,S,,widow,カ,
159,歌,,欠,14,2,,song,カ,うた|うた-う
160,箇,,竹,14,S,,counters for things,カ,
161,稼,,禾,15,S,1981,earnings,カ,かせ-ぐ
162,課,,言,15,4,,section,カ,
163,蚊,,虫,10,S,,mosquito,,か
164,牙,,牙,4,S,2010,tusk,ガ|（ゲ）,きば
165,瓦,,瓦,5,S,2010,tile,ガ,かわら
166,我,,戈,7,6,,ego,ガ,われ|わ
167,画,畫,田,8,2,,tableau,ガ|カク,
168,芽,,艸,8,4,,bud,ガ,め
169,賀,,貝,12,5,,congratulations,ガ,
170,雅,,隹,13,S,,gracious,ガ,
171,餓,,食,15,S,,starve,ガ,
172,介,,人,4,S,,jammed in,カイ,
173,回,,囗,6,2,,times,カイ|（エ）,まわ-る|まわ-す
174,灰,,火,6,6,,ashes,カイ,はい
175,会,會,曰,6,2,,association,カイ|エ,あ-う
176,快,,心,7,5,,cheerful,カイ,こころよ-い
177,戒,,戈,7,S,,commandment,カイ,いまし-める
178,改,,攴,7,4,,reformation,カイ,あらた-める|あらた-まる
179,怪,,心,8,S,,suspicious,カイ,あや-しい|あや-しむ
180,拐,,手,8,S,1981,kidnap,カイ,
181,悔,悔,心,9,S,,repent,カイ,く-いる|く-やむ|くや-しい
182,海,海,水,9,2,,sea,カイ,うみ
183,界,,田,9,3,,world,カイ,
184,皆,,白,9,S,,all,カイ,みな
185,械,,木,11,4,,contraption,カイ,
186,絵,繪,糸,12,2,,picture,カイ|エ,
187,開,,門,12,3,,open,カイ,ひら-く|ひら-ける|あ-く|あ-ける
188,階,,阜,12,3,,floor of a building,カイ,
189,塊,,土,13,S,,clod,カイ,かたまり
190,楷,,木,13,S,2010,square character style,カイ,
191,解,,角,13,5,,untie,カイ|ゲ,と-く|と-かす|と-ける
192,潰,,水,15,S,2010,crush,カイ,つぶ-す|つぶ-れる
193,壊,壞,土,16,S,,demolition,カイ,こわ-す|こわ-れる
194,懐,懷,心,16,S,,pocket,カイ,ふところ|なつ-かしい|なつ-かしむ|なつ-く|なつ-ける
195,諧,,言,16,S,2010,harmony,カイ,
196,貝,,貝,7,1,,shellfish,,かい
197,外,,夕,5,2,,outside,ガイ|ゲ,そと|ほか|はず-す|はず-れる
198,劾,,力,8,S,,censure,ガイ,
199,害,,宀,10,4,,harm,ガイ,
200,崖,,山,11,S,2010,cliff,ガイ,がけ
201,涯,,水,11,S,1981,horizon,ガイ,
202,街,,行,12,4,,street,ガイ|（カイ）,まち
203,慨,慨,心,13,S,,rue,ガイ,
204,蓋,,艸,13,S,2010,cover,ガイ,ふた
205,該,,言,13,S,,above-stated,ガイ,
206,概,槪,木,14,S,,outline,ガイ,
207,骸,,骨,16,S,2010,dead remains,ガイ,
208,垣,,土,9,S,1981,hedge,,かき
209,柿,,木,9,S,2010,persimmon,,かき
210,各,,口,6,4,,each,カク,おのおの
211,角,,角,7,2,,angle,カク,かど|つの
212,拡,擴,手,8,6,,broaden,カク,
213,革,,革,9,6,,leather,カク,かわ
214,格,,木,10,5,,status,カク|（コウ）
215,核,,木,10,S,,nucleus,カク,
216,殻,殼,殳,11,S,1981,husk,カク,から
217,郭,,邑,11,S,,enclosure,カク,
218,覚,覺,見,12,4,,memorize,カク,おぼ-える|さ-ます|さ-める
219,較,,車,13,S,,contrast,カク,
220,隔,,阜,13,S,,isolate,カク,へだ-てる|へだ-たる
221,閣,,門,14,6,,tall,カク,
222,確,,石,15,5,,certain,カク,たし-か|たし-かめる
223,獲,,犬,16,S,,seize,カク,え-る
224,嚇,,口,17,S,,menacing,カク,
225,穫,,禾,18,S,,harvest,カク,
226,学,學,子,8,1,,study,ガク,まな-ぶ
227,岳,嶽,山,8,S,,point,ガク,たけ
228,楽,樂,木,13,2,,pleasure,ガク|ラク,たの-しい|たの-しむ
229,額,,頁,18,5,,amount,ガク,ひたい
230,顎,,頁,18,S,2010,jaw,ガク,あご
231,掛,,手,11,S,,hang,,か-ける|か-かる|かかり
232,潟,,水,15,S,1981,lagoon,,かた
233,括,,手,9,S,,fasten,カツ,
234,活,,水,9,2,,active,カツ,
235,喝,喝,口,11,S,1981,hoarse,カツ,
236,渇,渴,水,11,S,,thirst,カツ,かわ-く
237,割,,刀,12,6,,divide,カツ,わ-る|わり|わ-れる|さ-く
238,葛,,艸,12,S,2010,arrowroot,カツ,くず
239,滑,,水,13,S,,slippery,カツ|コツ,すべ-る|なめ-らか
240,褐,褐,衣,13,S,1981,brown,カツ,
241,轄,,車,17,S,,control,カツ,
242,且,,一,5,S,,moreover,,か-つ
243,株,,木,10,6,,stocks,,かぶ
244,釜,,金,10,S,2010,kettle,,かま
245,鎌,,金,18,S,2010,sickle,,かま
246,刈,,刀,4,S,,reap,,か-る
247,干,,干,3,6,,dry,カン,ほ-す|ひ-る
248,刊,,刀,5,5,,publish,カン,
249,甘,,甘,5,S,,sweet,カン,あま-い|あま-える|あま-やかす
250,汗,,水,6,S,,sweat,カン,あせ
251,缶,罐,缶,6,S,1981,tin can,カン,
252,完,,宀,7,4,,perfect,カン,
253,肝,,肉,7,S,,liver,カン,きも
254,官,,宀,8,4,,government official,カン,
255,冠,,冖,9,S,,crown,カン,かんむり
256,巻,卷,卩,9,6,,scroll,カン,ま-く|まき
257,看,,目,9,6,,watch over,カン,
258,陥,陷,阜,10,S,,collapse,カン,おちい-る|おとしい-れる
259,乾,,乙,11,S,,dry,カン,かわ-く|かわ-かす
260,勘,,力,11,S,,intuition,カン,
261,患,,心,11,S,,afflicted,カン,わずら-う
262,貫,,貝,11,S,,pierce,カン,つらぬ-く
263,寒,,宀,12,3,,cold,カン,さむ-い
264,喚,,口,12,S,,yell,カン,
265,堪,,土,12,S,,withstand,カン,た-える
266,換,,手,12,S,,interchange,カン,か-える|か-わる
267,敢,,攴,12,S,,daring,カン,
268,棺,,木,12,S,,coffin,カン,
269,款,,欠,12,S,,goodwill,カン,
270,間,,門,12,2,,interval,カン|ケン,あいだ|ま
271,閑,,門,12,S,,leisure,カン,
272,勧,勸,力,13,S,,persuade,カン,すす-める
273,寛,寬,宀,13,S,,tolerant,カン,
274,幹,,干,13,5,,tree-trunk,カン,みき
275,感,,心,13,3,,feeling,カン,
276,漢,漢,水,13,3,,China,カン,
277,慣,,心,14,5,,accustomed,カン,な-れる|な-らす
278,管,,竹,14,4,,pipe,カン,くだ
279,関,關,門,14,4,,related,カン,せき|かか-わる
280,歓,歡,欠,15,S,,delight,カン,
281,監,,皿,15,S,,oversee,カン,
282,緩,,糸,15,S,,slacken,カン,ゆる-い|ゆる-やか|ゆる-む|ゆる-める
283,憾,,心,16,S,,remorse,カン,
284,還,,辵,16,S,,send back,カン,
285,館,,食,16,3,,public building,カン,やかた
286,環,,玉,17,S,,ring,カン,
287,簡,,竹,18,6,,simplicity,カン,
288,観,觀,見,18,4,,observe,カン,
289,韓,,韋,18,S,2010,Korea,カン,
290,艦,,舟,21,S,,warship,カン,
291,鑑,,金,23,S,,specimen,カン,かんが-みる
292,丸,,丶,3,2,,circle,ガン,まる|まる-い|まる-める
293,含,,口,7,S,,include,ガン,ふく-む|ふく-める
294,岸,,山,8,3,,beach,ガン,きし
295,岩,,山,8,2,,boulder,ガン,いわ
296,玩,,玉,8,S,2010,trifle with,ガン,
297,眼,,目,11,5,,eyeball,ガン|（ゲン）,まなこ
298,頑,,頁,13,S,1981,stubborn,ガン,
299,顔,,頁,18,2,,face,ガン,かお
300,願,,頁,19,4,,request,ガン,ねが-う
301,企,,人,6,S,,plan,キ,くわだ-てる
302,伎,,人,6,S,2010,deed,キ,
303,危,,卩,6,6,,dangerous,キ,あぶ-ない|あや-うい|あや-ぶむ
304,机,,木,6,6,,desk,キ,つくえ
305,気,氣,气,6,1,,feeling,キ|ケ,
306,岐,,山,7,S,,branch off,キ,
307,希,,巾,7,4,,hope,キ,
308,忌,,心,7,S,,mourning,キ,い-む|い-まわしい
309,汽,,水,7,2,,steam,キ,
310,奇,,大,8,S,,strange,キ,
311,祈,祈,示,8,S,,pray,キ,いの-る
312,季,,子,8,4,,seasons,キ,
313,紀,,糸,9,4,,chronicle,キ,
314,軌,,車,9,S,,rut,キ,
315,既,既,无,10,S,,previously,キ,すで-に
316,記,,言,10,2,,write down,キ,しる-す
317,起,,走,10,3,,wake up,キ,お-きる|お-こる|お-こす
318,飢,,食,10,S,,hungry,キ,う-える
319,鬼,,鬼,10,S,,ghost,キ,おに
320,帰,歸,止,10,2,,return,キ,かえ-る|かえ-す
321,基,,土,11,5,,foundation,キ,もと|もとい
322,寄,,宀,11,5,,approach,キ,よ-る|よ-せる
323,規,,見,11,5,,rule,キ,
324,亀,龜,龜,11,S,2010,turtle,キ,かめ
325,喜,,口,12,4,,rejoice,キ,よろこ-ぶ
326,幾,,幺,12,S,,how many,キ,いく
327,揮,,手,12,6,,brandish,キ,
328,期,,月,12,3,,period of time,キ|（ゴ）
329,棋,,木,12,S,,chess piece,キ,
330,貴,,貝,12,6,,precious,キ,たっと-い|とうと-い|たっと-ぶ|とうと-ぶ
331,棄,,木,13,S,,abandon,キ,
332,毀,,殳,13,S,2010,destroy,キ,
333,旗,,方,14,4,,national flag,キ,はた
334,器,器,口,15,4,,container,キ,うつわ
335,畿,,田,15,S,2010,capital,キ,
336,輝,,車,15,S,,radiance,キ,かがや-く
337,機,,木,16,4,,machine,キ,はた
338,騎,,馬,18,S,,equestrian,キ,
339,技,,手,7,5,,skill,ギ,わざ
340,宜,,宀,8,S,,best regards,ギ,
341,偽,僞,人,11,S,,falsehood,ギ,いつわ-る|にせ
342,欺,,欠,12,S,,deceit,ギ,あざむ-く
343,義,,羊,13,5,,righteousness,ギ,
344,疑,,疋,14,6,,doubt,ギ,うたが-う
345,儀,,人,15,S,,ceremony,ギ,
346,戯,戲,戈,15,S,,frolic,ギ,たわむ-れる
347,擬,,手,17,S,,mimic,ギ,
348,犠,犧,牛,17,S,,sacrifice,ギ,
349,議,,言,20,4,,deliberation,ギ,
350,菊,,艸,11,S,,chrysanthemum,キク,
351,吉,,口,6,S,,good luck,キチ|キツ,
352,喫,,口,12,S,,consume,キツ,
353,詰,,言,13,S,,packed,キツ,つ-める|つ-まる|つ-む
354,却,,卩,7,S,,instead,キャク,
355,客,,宀,9,3,,guest,キャク|カク,
356,脚,,肉,11,S,,leg,キャク|（キャ）,あし
357,逆,,辵,9,5,,inverted,ギャク,さか|さか-らう
358,虐,,虍,9,S,,tyrannize,ギャク,しいた-げる
359,九,,乙,2,1,,nine,キュウ|ク,ここの|ここの-つ
360,久,,丿,3,5,,long time,キュウ|（ク）,ひさ-しい
361,及,,又,3,S,,reach out,キュウ,およ-ぶ|およ-び|およ-ぼす
362,弓,,弓,3,2,,"bow (archery, violin)",キュウ,ゆみ
363,丘,,一,5,S,,hill,キュウ,おか
364,旧,舊,臼,5,5,,old times,キュウ,
365,休,,人,6,1,,rest,キュウ,やす-む|やす-まる|やす-める
366,吸,,口,6,6,,suck,キュウ,す-う
367,朽,,木,6,S,,decay,キュウ,く-ちる
368,臼,,臼,6,S,2010,mortar,キュウ,うす
369,求,,水,7,4,,request,キュウ,もと-める
370,究,,穴,7,3,,research,キュウ,きわ-める
371,泣,,水,8,4,,cry,キュウ,な-く
372,急,,心,9,3,,hurry,キュウ,いそ-ぐ
373,級,,糸,9,3,,rank,キュウ,
374,糾,,糸,9,S,,twist,キュウ,
375,宮,,宀,10,3,,Shinto shrine,キュウ|グウ|（ク）,みや
376,救,,攴,11,4,,salvation,キュウ,すく-う
377,球,,玉,11,3,,sphere,キュウ,たま
378,給,,糸,12,4,,salary,キュウ,
379,嗅,,口,13,S,2010,smell,キュウ,か-ぐ
380,窮,,穴,15,S,,hard up,キュウ,きわ-める|きわ-まる
381,牛,,牛,4,2,,cow,ギュウ,うし
382,去,,厶,5,3,,leave,キョ|コ,さ-る
383,巨,,工,5,S,,gigantic,キョ,
384,居,,尸,8,5,,reside,キョ,い-る
385,拒,,手,8,S,,repel,キョ,こば-む
386,拠,據,手,8,S,,foothold,キョ|コ,
387,挙,擧,手,10,4,,raise,キョ,あ-げる|あ-がる
388,虚,虛,虍,11,S,,void,キョ|（コ）
389,許,,言,11,5,,permit,キョ,ゆる-す
390,距,,足,12,S,,long-distance,キョ,
391,魚,,魚,11,2,,fish,ギョ,うお|さかな
392,御,,彳,12,S,,honorable,ギョ|ゴ,おん
393,漁,,水,14,4,,fishing,ギョ|リョウ,
394,凶,,凵,4,S,,villain,キョウ,
395,共,,八,6,4,,together,キョウ,とも
396,叫,,口,6,S,,shout,キョウ,さけ-ぶ
397,狂,,犬,7,S,,lunatic,キョウ,くる-う|くる-おしい
398,京,,亠,8,2,,capital,キョウ|ケイ,
399,享,,亠,8,S,,receive,キョウ,
400,供,,人,8,6,,offer,キョウ|（ク）,そな-える|とも
401,協,,十,8,4,,cooperation,キョウ,
402,況,,水,8,S,,condition,キョウ,
403,峡,峽,山,9,S,,gorge,キョウ,
404,挟,挾,手,9,S,1981,pinch,キョウ,はさ-む|はさ-まる
405,狭,狹,犬,9,S,,cramped,キョウ,せま-い|せば-める|せば-まる
406,恐,,心,10,S,,fear,キョウ,おそ-れる|おそ-ろしい
407,恭,,心,10,S,,respect,キョウ,うやうや-しい
408,胸,,肉,10,6,,bosom,キョウ,むね|（むな）
409,脅,,肉,10,S,,threaten,キョウ,おびや-かす|おど-す|おど-かす
410,強,,弓,11,2,,strong,キョウ|ゴウ,つよ-い|つよ-まる|つよ-める|し-いる
411,教,,攴,11,2,,teach,キョウ,おし-える|おそ-わる
412,郷,鄕,邑,11,6,,home town,キョウ|ゴウ,
413,境,,土,14,5,,boundary,キョウ|（ケイ）,さかい
414,橋,,木,16,3,,bridge,キョウ,はし
415,矯,,矢,17,S,1981,rectify,キョウ,た-める
416,鏡,,金,19,4,,mirror,キョウ,かがみ
417,競,,立,20,4,,compete,キョウ|ケイ,きそ-う|せ-る
418,響,響,音,20,S,,echo,キョウ,ひび-く
419,驚,,馬,22,S,,wonder,キョウ,おどろ-く|おどろ-かす
420,仰,,人,6,S,,face-up,ギョウ|（コウ）,あお-ぐ|おお-せ
421,暁,曉,日,12,S,,daybreak,ギョウ,あかつき
422,業,,木,13,3,,business,ギョウ|ゴウ,わざ
423,凝,,冫,16,S,,congeal,ギョウ,こ-る|こ-らす
424,曲,,曰,6,3,,musical composition,キョク,ま-がる|ま-げる
425,局,,尸,7,3,,office,キョク,
426,極,,木,12,4,,poles,キョク|ゴク,きわ-める|きわ-まる|きわ-み
427,玉,,玉,5,1,,ball,ギョク,たま
428,巾,,巾,3,S,2010,towel,キン,
429,斤,,斤,4,S,,axe,キン,
430,均,,土,7,5,,level,キン,
431,近,,辵,7,2,,near,キン,ちか-い
432,金,,金,8,1,,gold,キン|コン,かね|（かな）
433,菌,,艸,11,S,,germ,キン,
434,勤,勤,力,12,6,,diligence,キン|（ゴン）,つと-める|つと-まる
435,琴,,玉,12,S,,harp,キン,こと
436,筋,,竹,12,6,,muscle,キン,すじ
437,僅,,人,13,S,2010,a wee bit,キン,わず-か
438,禁,,示,13,5,,prohibition,キン,
439,緊,,糸,15,S,,tense,キン,
440,錦,,金,16,S,2010,brocade,キン,にしき
441,謹,謹,言,17,S,,discreet,キン,つつし-む
442,襟,,衣,18,S,1981,collar,キン,えり
443,吟,,口,7,S,,versify,ギン,
444,銀,,金,14,3,,silver,ギン,
445,区,區,匸,4,3,,ward,ク,
446,句,,口,5,5,,phrase,ク,
447,苦,,艸,8,3,,suffer,ク,くる-しい|くる-しむ|くる-しめる|にが-い|にが-る
448,駆,驅,馬,14,S,,drive,ク,か-ける|か-る
449,具,,八,8,3,,tool,グ,
450,惧,,心,11,S,2010,dread,グ,
451,愚,,心,13,S,,foolish,グ,おろ-か
452,空,,穴,8,1,,sky,クウ,そら|あ-く|あ-ける|から
453,偶,,人,11,S,,accidentally,グウ,
454,遇,,辵,12,S,,interview,グウ,
455,隅,,阜,12,S,1981,corner,グウ,すみ
456,串,,丨,7,S,2010,skewer,,くし
457,屈,,尸,8,S,,yield,クツ,
458,掘,,手,11,S,,dig,クツ,ほ-る
459,窟,,穴,13,S,2010,cavern,クツ,
460,熊,,火,14,S,2010,bear,,くま
461,繰,,糸,19,S,,winding,,く-る
462,君,,口,7,3,,you,クン,きみ
463,訓,,言,10,4,,instruction,クン,
464,勲,勳,力,15,S,,meritorious deed,クン,
465,薫,薰,艸,16,S,,fragrant,クン,かお-る
466,軍,,車,9,4,,army,グン,
467,郡,,邑,10,4,,county,グン,
468,群,,羊,13,5,,flock,グン,む-れる|む-れ|（むら）
469,兄,,儿,5,2,,older brother,ケイ|（キョウ）,あに
470,刑,,刀,6,S,,punish,ケイ,
471,形,,彡,7,2,,shape,ケイ|ギョウ,かた|かたち
472,系,,糸,7,6,,lineage,ケイ,
473,径,徑,彳,8,4,,diameter,ケイ,
474,茎,莖,艸,8,S,,stalk,ケイ,くき
475,係,,人,9,3,,person in charge,ケイ,かか-る|かかり
476,型,,土,9,4,,model,ケイ,かた
477,契,,大,9,S,,pledge,ケイ,ちぎ-る
478,計,,言,9,2,,measure,ケイ,はか-る|はか-らう
479,恵,惠,心,10,S,,favor,ケイ|エ,めぐ-む
480,啓,,口,11,S,,disclose,ケイ,
481,掲,揭,手,11,S,,put up (a notice),ケイ,かか-げる
482,渓,溪,水,11,S,1981,mountain stream,ケイ,
483,経,經,糸,11,5,,manage,ケイ|キョウ,へ-る
484,蛍,螢,虫,11,S,1981,lightning-bug,ケイ,ほたる
485,敬,,攴,12,6,,respect,ケイ,うやま-う
486,景,,日,12,4,,scenery,ケイ,
487,軽,輕,車,12,3,,light,ケイ,かる-い|かろ-やか
488,傾,,人,13,S,,lean,ケイ,かたむ-く|かたむ-ける
489,携,,手,13,S,,portable,ケイ,たずさ-える|たずさ-わる
490,継,繼,糸,13,S,,inherit,ケイ,つ-ぐ
491,詣,,言,13,S,2010,visit a temple,ケイ,もう-でる
492,慶,,心,15,S,,jubilation,ケイ,
493,憬,,心,15,S,2010,long for,ケイ,
494,稽,,禾,15,S,2010,consider,ケイ,
495,憩,,心,16,S,,recess,ケイ,いこ-い|いこ-う
496,警,,言,19,6,,guard against,ケイ,
497,鶏,鷄,鳥,19,S,,chicken,ケイ,にわとり
498,芸,藝,艸,7,4,,art,ゲイ,
499,迎,,辵,7,S,,welcome,ゲイ,むか-える
500,鯨,,魚,19,S,,whale,ゲイ,くじら
501,隙,,阜,13,S,2010,fissure,ゲキ,すき
502,劇,,刀,15,6,,drama,ゲキ,
503,撃,擊,手,15,S,,beat,ゲキ,う-つ
504,激,,水,16,6,,violent,ゲキ,はげ-しい
505,桁,,木,10,S,2010,beam,,けた
