char	codepoint	readings
嫔	U+5AD4	tần
嫕	U+5AD5	ê|ế
嫖	U+5AD6	biều|phiêu|phiếu|phếu
嫗	U+5AD7	ẩu|ủ
嫘	U+5AD8	luy
嫚	U+5ADA	mạn|oan
嫛	U+5ADB	ê
嫜	U+5ADC	chương|xáo
嫟	U+5ADF	nật
嫠	U+5AE0	ly
嫡	U+5AE1	đích
嫢	U+5AE2	quy
嫣	U+5AE3	yên
嫥	U+5AE5	chuyên
嫦	U+5AE6	thường
嫩	U+5AE9	non|nộn
嫪	U+5AEA	hông|lao|liệu|lạc
嫫	U+5AEB	mô|toán
嫭	U+5AED	hộ
嫮	U+5AEE	hộ|tường
嫱	U+5AF1	tường
嫳	U+5AF3	miết
嫵	U+5AF5	vũ
嫶	U+5AF6	tiều
嫷	U+5AF7	đọa
嫺	U+5AFA	nhàn
嫻	U+5AFB	nhàn
嫽	U+5AFD	liêu
嫿	U+5AFF	hoạch|họa|quy
嬀	U+5B00	quy
嬃	U+5B03	tu
嬈	U+5B08	kiêu|liểu|nhiêu|nhiễu|niêu|niểu
嬉	U+5B09	hi|hy
嬋	U+5B0B	thiền|thuyền
嬌	U+5B0C	kiều|mĩ
嬍	U+5B0D	mĩ
嬎	U+5B0E	phó
嬏	U+5B0F	thẩm
嬐	U+5B10	ngẫm|tiêm
嬖	U+5B16	bế
嬗	U+5B17	thiện
嬙	U+5B19	tường
嬛	U+5B1B	hoàn|huyên|quỳnh
嬝	U+5B1D	niễu|niệu
嬡	U+5B21	ái
嬢	U+5B22	nương
嬤	U+5B24	ma|mạ
嬥	U+5B25	điệu
嬪	U+5B2A	bi|tần
嬬	U+5B2C	nhu
嬭	U+5B2D	nãi|nễ
嬮	U+5B2E	cạnh
嬰	U+5B30	anh
嬲	U+5B32	niếu|niểu|niễu|điều|điểu
嬴	U+5B34	doanh
嬷	U+5B37	ma|mạ
嬸	U+5B38	thím|thẩm
嬺	U+5B3A	nật
嬼	U+5B3C	lưu
嬽	U+5B3D	huyên
嬾	U+5B3E	lãn|lại
嬿	U+5B3F	yến
孀	U+5B40	sương
孃	U+5B43	nương|tường
孅	U+5B45	thiêm|tiêm
孋	U+5B4B	ly
孌	U+5B4C	loan|luyến
孏	U+5B4F	lãn
子	U+5B50	tí|tý|tử
孑	U+5B51	kiết|quyết
孒	U+5B52	củng|quyết
孓	U+5B53	củng|quyết
孔	U+5B54	khổng
孕	U+5B55	dựng
孖	U+5B56	ma|tư
字	U+5B57	tự
存	U+5B58	tồn
孙	U+5B59	tôn|tốn
孚	U+5B5A	phu|phù
孛	U+5B5B	bội|bột|bụt
孜	U+5B5C	tư
孝	U+5B5D	hiếu
孟	U+5B5F	mãng|mạnh
孠	U+5B60	tự
孡	U+5B61	thai
孢	U+5B62	bào
季	U+5B63	quí|quý
孤	U+5B64	cô
孥	U+5B65	noa|nua|nô
学	U+5B66	học
孨	U+5B68	chuyển
孩	U+5B69	hài
孪	U+5B6A	loan|luyên|luyến
孫	U+5B6B	tôn|tốn
孬	U+5B6C	khoái|nạo
孮	U+5B6E	tôn
孰	U+5B70	dong|thục
孱	U+5B71	khiếp|sàn|sán
孲	U+5B72	nha
孳	U+5B73	tư
孴	U+5B74	nghĩ
孵	U+5B75	phu|phụ
孶	U+5B76	tư|tứ
孷	U+5B77	ly
學	U+5B78	học
孺	U+5B7A	nhu|nhũ|nhọ|nhụ
孻	U+5B7B	nai|nhụ
孼	U+5B7C	nghiệt
孽	U+5B7D	bách|nghiệt
孿	U+5B7F	loan|luyên|luyến
宀	U+5B80	miên
宁	U+5B81	ninh|nịnh|trữ
宂	U+5B82	nhũng
它	U+5B83	di|si|sà|sá|tha|xà
宄	U+5B84	quĩ|quỹ
宅	U+5B85	trạch
宇	U+5B87	vũ
守	U+5B88	thú|thủ
安	U+5B89	an|yên
宊	U+5B8A	gia|đột
宋	U+5B8B	tống
完	U+5B8C	hoàn
宍	U+5B8D	nhục
宎	U+5B8E	tỷ|yểu
宏	U+5B8F	hoành|hoằng
宐	U+5B90	nghi
宓	U+5B93	mật|phục
宕	U+5B95	đãng
宗	U+5B97	tôn|tông
官	U+5B98	quan
宙	U+5B99	trụ
定	U+5B9A	đính|định
宛	U+5B9B	uyên|uyển
宜	U+5B9C	nghi
宝	U+5B9D	bảo|bửu
实	U+5B9E	chí|thật|thực
実	U+5B9F	chí|thật|thặc|thực
宠	U+5BA0	sủng
审	U+5BA1	thẩm
客	U+5BA2	khách
宣	U+5BA3	tuyên
室	U+5BA4	thất
宥	U+5BA5	hựu
宦	U+5BA6	hoạn
宧	U+5BA7	di|hoạn
宨	U+5BA8	triệu
宪	U+5BAA	hiến
宫	U+5BAB	cung
宬	U+5BAC	thành
宭	U+5BAD	quần
宮	U+5BAE	cung
宰	U+5BB0	tể
害	U+5BB3	hại|hạt
宴	U+5BB4	yên|yến|án
宵	U+5BB5	tiêu
家	U+5BB6	cô|gia
宸	U+5BB8	thần
容	U+5BB9	dong|dung
宻	U+5BBB	mật
宼	U+5BBC	khoan|khấu
宽	U+5BBD	khoan
宾	U+5BBE	thấn|tân
宿	U+5BBF	tú|túc
寀	U+5BC0	thái
寁	U+5BC1	tiệp|toản
寂	U+5BC2	tịch
寃	U+5BC3	oan
寄	U+5BC4	gửi|kí|ký|kỳ|kỷ
寅	U+5BC5	dần
密	U+5BC6	mật
寇	U+5BC7	khấu
寉	U+5BC9	hạc
富	U+5BCC	phú
寍	U+5BCD	ninh
寎	U+5BCE	kính
寐	U+5BD0	mị
寑	U+5BD1	tẩm
寒	U+5BD2	hàn
寓	U+5BD3	ngụ|vũ
寔	U+5BD4	thật|thặc|thực|tẩm
寕	U+5BD5	ninh
寖	U+5BD6	tẩm
寘	U+5BD8	chí|trí
寚	U+5BDA	bảo
寛	U+5BDB	khoan
寜	U+5BDC	ninh
寝	U+5BDD	tẩm
寞	U+5BDE	mịch
察	U+5BDF	sát
寠	U+5BE0	cũ|lũ
寡	U+5BE1	quả
寢	U+5BE2	tẩm
寣	U+5BE3	hốt
寤	U+5BE4	ngộ|ngụ
寥	U+5BE5	liêu
實	U+5BE6	chí|thật|thặc|thực
寧	U+5BE7	ninh|trữ
寨	U+5BE8	trại
審	U+5BE9	thẩm
寪	U+5BEA	vĩ|vị
寫	U+5BEB	tả
寬	U+5BEC	khoan
寮	U+5BEE	liêu
寯	U+5BEF	tuấn
寰	U+5BF0	hoàn
寱	U+5BF1	nghệ
寳	U+5BF3	bảo|bửu
寵	U+5BF5	sủng
寶	U+5BF6	bảo|bửu
寸	U+5BF8	thốn
对	U+5BF9	đối
寺	U+5BFA	tự
寻	U+5BFB	tầm
导	U+5BFC	đạo
寽	U+5BFD	luật
対	U+5BFE	đối
寿	U+5BFF	thọ
尀	U+5C00	phả
封	U+5C01	phong
専	U+5C02	chuyên
尃	U+5C03	chuyên|phu
射	U+5C04	dạ|dịch|tạ|xạ
尅	U+5C05	khắc
将	U+5C06	thương|tương|tướng
將	U+5C07	thương|tương|tướng
專	U+5C08	chuyên|đoàn
尉	U+5C09	uất|úy|ủy
尊	U+5C0A	tôn
尋	U+5C0B	tầm
尌	U+5C0C	thụ|đố
對	U+5C0D	đối|đỗi
導	U+5C0E	đạo
小	U+5C0F	tiểu
尐	U+5C10	xử
少	U+5C11	sa|thiếu|thiểu
尒	U+5C12	nhĩ|thủy
尓	U+5C13	nhĩ
尔	U+5C14	nhĩ|nể|nễ
尖	U+5C16	tiêm
尗	U+5C17	thúc|trần
尘	U+5C18	trần
尙	U+5C19	thượng
尚	U+5C1A	chuộng|thượng
尛	U+5C1B	ma
尜	U+5C1C	kiết
尝	U+5C1D	thường
尞	U+5C1E	liêu
尟	U+5C1F	tiển
尠	U+5C20	tiển
尢	U+5C22	uông|vưu
尤	U+5C24	vưu
尥	U+5C25	bào|liệu|thược
尦	U+5C26	bào
尧	U+5C27	nghiêu
尨	U+5C28	mang|mông
尪	U+5C2A	diên|uông
尫	U+5C2B	uông
尬	U+5C2C	giới
尭	U+5C2D	nghiêu
尰	U+5C30	thũng
就	U+5C31	tựu
尲	U+5C32	dam|giám
尴	U+5C34	giám
尶	U+5C36	giám
尷	U+5C37	giam|giám
尸	U+5C38	thi|thây
尹	U+5C39	doãn|duẫn
尺	U+5C3A	chỉ|xích
尻	U+5C3B	cừu|khao|khào
尼	U+5C3C	ni|nê|nật|nặc|nệ
尽	U+5C3D	tần|tẫn|tận
尾	U+5C3E	vĩ
尿	U+5C3F	niếu|niệu|tuy
局	U+5C40	cuộc|cục
屁	U+5C41	thí
层	U+5C42	tằng
屃	U+5C43	hý|sí
屄	U+5C44	bi|bì|bức|tỳ
居	U+5C45	cư|ky|kí|ký
屆	U+5C46	giới
屈	U+5C48	giới|khuất|quật
屉	U+5C49	thế
届	U+5C4A	giới
屋	U+5C4B	ốc
屌	U+5C4C	điếu|điểu
屍	U+5C4D	thi
屎	U+5C4E	hi|hy|thỉ
屏	U+5C4F	bình|bính|phanh
屐	U+5C50	kịch|kỹ|lý
屑	U+5C51	tiêu|tiết
屓	U+5C53	hý|sí
展	U+5C55	triển
屖	U+5C56	tê
屘	U+5C58	vĩ
屙	U+5C59	a|kha|ố
屚	U+5C5A	lậu
屛	U+5C5B	bình|bính|phanh
屜	U+5C5C	thế|tiếp
屝	U+5C5D	phi|phỉ
属	U+5C5E	chú|chúc|thuộc|thục
屟	U+5C5F	tiệp
屠	U+5C60	chư|phong|đồ
屡	U+5C61	lũ
屢	U+5C62	lâu|lũ
屣	U+5C63	si|tỉ|tỷ|xí
層	U+5C64	tầng|tằng
履	U+5C65	lý|lữ
屦	U+5C66	lũ
屧	U+5C67	tiết|tiệp|điệp
屨	U+5C68	lũ
屩	U+5C69	cược|khiêu|nghiếu
屪	U+5C6A	liêu
屬	U+5C6C	chú|chúc|chủ|thuộc
屭	U+5C6D	hí|hý|sí
屮	U+5C6E	triệt
屯	U+5C6F	truân|đồn
屰	U+5C70	kích|nghịch
山	U+5C71	san|sơn|u
屳	U+5C73	hiên|tiên
屴	U+5C74	lực
屵	U+5C75	ngạt
屹	U+5C79	ngật|ngột
屺	U+5C7A	dĩ|khỉ|kỷ
屼	U+5C7C	ngột
屿	U+5C7F	dữ|tự
岀	U+5C80	xuất
岁	U+5C81	tuế
岂	U+5C82	khải|khỉ|khởi
岅	U+5C85	bản|phản
岆	U+5C86	chí
岈	U+5C88	ha
岉	U+5C89	vật
岊	U+5C8A	ngập|tiết
岋	U+5C8B	ngập
岌	U+5C8C	ngập
岍	U+5C8D	khiên
岏	U+5C8F	hoàn|ngoan|đệ
岐	U+5C90	kì|kỳ
岑	U+5C91	sấm|sầm
岒	U+5C92	kiềm
岔	U+5C94	sá|sóa|xá|xóa
岖	U+5C96	khu
岗	U+5C97	cương
岘	U+5C98	hiện|nghiễn
岙	U+5C99	áo
岚	U+5C9A	lam
岛	U+5C9B	đảo
岝	U+5C9D	trách
岞	U+5C9E	trách
岠	U+5CA0	cự
岡	U+5CA1	cương
岢	U+5CA2	kha|khả|nham
岣	U+5CA3	cu|cẩu
岥	U+5CA5	pha
岧	U+5CA7	thiều|đèo
岨	U+5CA8	thư
岩	U+5CA9	nham
岪	U+5CAA	phất|phật
岫	U+5CAB	tụ
岬	U+5CAC	giáp
岭	U+5CAD	linh|lãnh|lĩnh
岮	U+5CAE	đà
岰	U+5CB0	u
岱	U+5CB1	đại|đồi
岳	U+5CB3	nhạc
岵	U+5CB5	hô|hỗ|hộ
岷	U+5CB7	dân|mân
岸	U+5CB8	ngàn|ngạn
岹	U+5CB9	khuy|thiều|vị
岺	U+5CBA	linh
岿	U+5CBF	khuy|quy|vị
峀	U+5CC0	tụ
峁	U+5CC1	dịch
峄	U+5CC4	dịch
峆	U+5CC6	hàm
峉	U+5CC9	ngạch|điêu
峊	U+5CCA	phụ
峋	U+5CCB	tuân
峌	U+5CCC	điệt
峒	U+5CD2	đồng|đỗng|động
峓	U+5CD3	di
峗	U+5CD7	nguy
峘	U+5CD8	hoàn
峙	U+5CD9	trì|trĩ|trữ
峚	U+5CDA	mật
峛	U+5CDB	lệ|lỵ
峝	U+5CDD	đồng|đỗng|động
峡	U+5CE1	giáp|hiệp|hạp
峣	U+5CE3	nghiêu
峤	U+5CE4	kiêu|kiều|kiệu
峥	U+5CE5	tranh
峦	U+5CE6	loan
峨	U+5CE8	nga
峩	U+5CE9	nga
峪	U+5CEA	cốc|dục
峫	U+5CEB	da|đa
峬	U+5CEC	bô|phu
峭	U+5CED	tiêu|tiễu
峮	U+5CEE	quân
峯	U+5CEF	phong
峰	U+5CF0	phong
峱	U+5CF1	nao|náo|nạo
峳	U+5CF3	du
峴	U+5CF4	hiện|kiến|nghiễn
島	U+5CF6	đảo
峷	U+5CF7	sân
峹	U+5CF9	đồ
峺	U+5CFA	canh
峻	U+5CFB	tuấn
峽	U+5CFD	giáp|hiệp|hạp
峾	U+5CFE	ngân
峿	U+5CFF	ngô|ngữ
崀	U+5D00	lang
崁	U+5D01	khám|khảm
崂	U+5D02	lao
崃	U+5D03	lai
崄	U+5D04	hiểm
崆	U+5D06	khoang|không
崇	U+5D07	hoa|sùng
崊	U+5D0A	lờm
崋	U+5D0B	hoa
崌	U+5D0C	cư
崍	U+5D0D	lai
崎	U+5D0E	khi|kỳ
崏	U+5D0F	môi
崐	U+5D10	côn
崑	U+5D11	côn
崒	U+5D12	chót|thôi|tốt|tột|tụy
崔	U+5D14	thôi|tồi
崕	U+5D15	nhai
崖	U+5D16	day|nhai
崗	U+5D17	cang|cương
崘	U+5D18	luân|lôn
崙	U+5D19	luân|lôn|son
崚	U+5D1A	lăng
崛	U+5D1B	quật
崝	U+5D1D	canh|sanh
崞	U+5D1E	quách
崟	U+5D1F	dần|ngâm
崠	U+5D20	đông|ẫm
崡	U+5D21	hàm
崢	U+5D22	tranh
崣	U+5D23	khụy|ủy
崤	U+5D24	hào
崥	U+5D25	tỷ
崦	U+5D26	yêm
崧	U+5D27	tung|tùng
崩	U+5D29	băng
崪	U+5D2A	tốt|tột|tụy
崫	U+5D2B	quật|tiệm
崭	U+5D2D	tiệm
崮	U+5D2E	cố
崱	U+5D31	trắc|tắc
崴	U+5D34	uy
崷	U+5D37	tù
崺	U+5D3A	dĩ|nghi
崼	U+5D3C	thị
崽	U+5D3D	tải|tể
崿	U+5D3F	ngạc
嵁	U+5D41	cù|kham
嵂	U+5D42	luật
嵆	U+5D46	kê
嵇	U+5D47	kê
嵊	U+5D4A	thặng
嵋	U+5D4B	mi
嵌	U+5D4C	khâm|khảm
嵎	U+5D4E	giủng|ngu|ngung
嵏	U+5D4F	tông
嵐	U+5D50	lam
嵑	U+5D51	kiệt|nham
嵒	U+5D52	nham
嵔	U+5D54	ủy
嵕	U+5D55	tông
嵗	U+5D57	tuế|vanh
嵘	U+5D58	vanh
嵚	U+5D5A	hâm
嵜	U+5D5C	kỳ
嵝	U+5D5D	lũ
嵞	U+5D5E	đồ
嵤	U+5D64	tráo|trạo
嵥	U+5D65	kiệt
嵧	U+5D67	lưu
嵩	U+5D69	tung
嵫	U+5D6B	tư
嵬	U+5D6C	nguy|ngôi|vĩ
嵯	U+5D6F	ta|tha
嵲	U+5D72	niết
嵳	U+5D73	tha
嵷	U+5D77	tung
嵹	U+5D79	cưỡng
嵺	U+5D7A	lũ
嵼	U+5D7C	sản
嵾	U+5D7E	lũ|sâm
嵿	U+5D7F	đính
嶁	U+5D81	lũ
嶂	U+5D82	chướng|tòa
嶄	U+5D84	chởm|tiệm|trảm
嶇	U+5D87	khu
嶋	U+5D8B	đảo
嶌	U+5D8C	đảo
嶍	U+5D8D	tập
嶒	U+5D92	tăng|tằng
嶓	U+5D93	ba
嶔	U+5D94	hàm|hâm|khâm
嶕	U+5D95	tiêu
嶗	U+5D97	lao
嶙	U+5D99	lân
嶚	U+5D9A	liêu
嶜	U+5D9C	tâm
嶝	U+5D9D	đăng|đặng
嶞	U+5D9E	đọa
嶟	U+5D9F	tôn
嶠	U+5DA0	kiêu|kiều|kiểu|kiệu
嶡	U+5DA1	quyết
嶢	U+5DA2	nghiêu|nghèo
嶧	U+5DA7	dịch
嶨	U+5DA8	học
嶪	U+5DAA	nghiệp
嶫	U+5DAB	nghiệp
嶭	U+5DAD	tiết
嶮	U+5DAE	hiểm
嶰	U+5DB0	giải
嶱	U+5DB1	khát|tây
嶲	U+5DB2	tây
嶳	U+5DB3	địa
嶴	U+5DB4	áo
嶷	U+5DB7	nghi|ngật|ngặc|ngực
嶸	U+5DB8	vanh|vinh
嶺	U+5DBA	lãnh|lĩnh
嶼	U+5DBC	dư|dữ|dự|ngữ|tự
嶽	U+5DBD	nhạc
嶾	U+5DBE	nhạc|ẩn
巀	U+5DC0	nhai
巂	U+5DC2	huề|tây|tê
巃	U+5DC3	lung
巄	U+5DC4	lung
巅	U+5DC5	điên
巆	U+5DC6	vanh
巇	U+5DC7	hi|hy|thược
巉	U+5DC9	sàm
巊	U+5DCA	anh
巋	U+5DCB	khuy|vị
巌	U+5DCC	nham
巍	U+5DCD	nguy|ngôi
巑	U+5DD1	toản|tán
巒	U+5DD2	loan
巓	U+5DD3	điên
巔	U+5DD4	điên
巖	U+5DD6	nham
巗	U+5DD7	nham
巘	U+5DD8	hiến|nghiễn
巛	U+5DDB	khôn|xuyên
巜	U+5DDC	quái
川	U+5DDD	xuyên
州	U+5DDE	châu
巟	U+5DDF	hoang
巠	U+5DE0	kinh
巡	U+5DE1	duyên|tuần
巢	U+5DE2	sào
巣	U+5DE3	sào
工	U+5DE5	công
左	U+5DE6	tá|tả
巧	U+5DE7	xảo
巨	U+5DE8	cự|há
巩	U+5DE9	củng
巫	U+5DEB	vu
差	U+5DEE	sai|si|soa|sái
巯	U+5DEF	bái|lưu|phế
巰	U+5DF0	lưu
己	U+5DF1	kỉ|kỷ
已	U+5DF2	dĩ
巳	U+5DF3	tị|tỵ
巴	U+5DF4	ba
巵	U+5DF5	chi
巷	U+5DF7	hạng
巹	U+5DF9	cẩn
巺	U+5DFA	tốn
巻	U+5DFB	quyển
巽	U+5DFD	rốn|tốn
巾	U+5DFE	cân
巿	U+5DFF	phất|thị
帀	U+5E00	táp|tạp
币	U+5E01	tệ
市	U+5E02	thị
布	U+5E03	bố
帄	U+5E04	đinh
帅	U+5E05	soái|suất|súy
帆	U+5E06	phàm|phâm
师	U+5E08	sư
帉	U+5E09	phân
帊	U+5E0A	mạn|phạ
帋	U+5E0B	chỉ
希	U+5E0C	hy|hơi
帍	U+5E0D	hộ|vi
帏	U+5E0F	vi
帐	U+5E10	trướng
帑	U+5E11	nô|thảng
帒	U+5E12	đại|đẫy
帓	U+5E13	mạt
帔	U+5E14	bí|phí|ấp
帕	U+5E15	bạc|bạch|mạt|phách|phạ
帖	U+5E16	thiếp|thiệp
帗	U+5E17	bạt|phạt
帘	U+5E18	cân|liêm
帙	U+5E19	chật|dật|pho|trật
帚	U+5E1A	chửu|trửu
帛	U+5E1B	bạch
帜	U+5E1C	xí
帝	U+5E1D	đấy|đế
帞	U+5E1E	mạch
帟	U+5E1F	diệc|dịch
帡	U+5E21	bình|tinh
帢	U+5E22	kháp
帣	U+5E23	quyến|quyển
帤	U+5E24	như
帥	U+5E25	soái|suất|súy
带	U+5E26	đái|đới
帧	U+5E27	tránh
帨	U+5E28	thuế
帩	U+5E29	tiêu|tiếu
師	U+5E2B	sư
帬	U+5E2C	quần
席	U+5E2D	tịch
帮	U+5E2E	bang
帯	U+5E2F	đái|đới
帰	U+5E30	quy
帱	U+5E31	sâm|trù|đào
帲	U+5E32	bình
帳	U+5E33	trướng
帴	U+5E34	sa|tiên|tiễn|tàn
帵	U+5E35	oan|uyên
帶	U+5E36	đai|đái|đới
帷	U+5E37	duy
常	U+5E38	thường
帹	U+5E39	sáp|thiếp|trách
帺	U+5E3A	kỳ
帻	U+5E3B	trách
帼	U+5E3C	quắc
帽	U+5E3D	mão|mạo
幀	U+5E40	tranh|trinh|tránh
幂	U+5E42	mạc|mịch
幃	U+5E43	duy|huy|vi
幄	U+5E44	ác|ốc
幅	U+5E45	bức|phúc|phức
幇	U+5E47	bang|bình
幈	U+5E48	bình
幋	U+5E4B	bàn
幌	U+5E4C	hoảng
幍	U+5E4D	thao
幎	U+5E4E	mạc|mịch
幏	U+5E4F	giá
幐	U+5E50	đằng
幑	U+5E51	huy
幓	U+5E53	sam|sâm
幔	U+5E54	man|màn|mãn|mạn
幕	U+5E55	mán|mạc|mạn|mộ
幗	U+5E57	quắc|quốc
幘	U+5E58	trách
幙	U+5E59	mạc
幚	U+5E5A	bang
幛	U+5E5B	chướng|trướng
幜	U+5E5C	cảnh
幝	U+5E5D	xiển
幞	U+5E5E	bộc|phác|phốc
幟	U+5E5F	sí|xí
幠	U+5E60	hu
幡	U+5E61	phan|phiên
幢	U+5E62	choàng|chàng|tràng
幣	U+5E63	giẻ|tệ
幦	U+5E66	mịch
幧	U+5E67	thao|thiêu|xao
幨	U+5E68	siêm|siểm|xiêm
幩	U+5E69	phần
幪	U+5E6A	mông
幫	U+5E6B	bang
幬	U+5E6C	trù|đào|đảo
幭	U+5E6D	miệt
幮	U+5E6E	trù
幯	U+5E6F	tiết
幰	U+5E70	hiến|hiển
幱	U+5E71	lan
干	U+5E72	can|càn|cán|kiền
平	U+5E73	biền|bình
年	U+5E74	niên|nên
幵	U+5E75	kiên|tinh
并	U+5E76	bình|bính|bạng|phanh|tinh|tính|tịnh
幷	U+5E77	bình|bính|tinh|tính|tịnh
幸	U+5E78	hãnh|hạnh
幹	U+5E79	can|càn|cán|kiền
幺	U+5E7A	ma|yêu
幻	U+5E7B	huyễn|ảo
幼	U+5E7C	yếu|ấu
幽	U+5E7D	u
幾	U+5E7E	cơ|khởi|ki|ky|kí|ký|kỉ|kỳ|kỷ
广	U+5E7F	khoát|nghiễm|quáng|quảng|yểm
庀	U+5E80	bỉ|phỉ
庁	U+5E81	sảnh|thính
庂	U+5E82	trắc
庄	U+5E84	bành|chăng|trang
庅	U+5E85	ma
庆	U+5E86	khanh|khánh|khương
庇	U+5E87	tí|tý
庈	U+5E88	cầm
床	U+5E8A	sàng
庋	U+5E8B	ký|kĩ|kỹ|quỷ|quỹ
庌	U+5E8C	nhã
庍	U+5E8D	bái
序	U+5E8F	tự|tựa
庐	U+5E90	lư|lữ
庑	U+5E91	vu|vũ
庒	U+5E92	trang
库	U+5E93	khố
应	U+5E94	ưng|ứng
底	U+5E95	đắc|để
庖	U+5E96	bao|bào|cào
店	U+5E97	điếm
庙	U+5E99	miếu
庚	U+5E9A	canh
庛	U+5E9B	thứ
府	U+5E9C	phủ
庞	U+5E9E	bàng|lung
废	U+5E9F	phế
庠	U+5EA0	tường
庢	U+5EA2	chí|thất|trất
庣	U+5EA3	thiêu
庤	U+5EA4	chí|trĩ
庥	U+5EA5	hưu
度	U+5EA6	đạc|độ
座	U+5EA7	toà|tòa|tọa
庨	U+5EA8	hao
庪	U+5EAA	quỷ|quỹ
庫	U+5EAB	kho|khố
庬	U+5EAC	mang
庭	U+5EAD	thính|đình
庮	U+5EAE	dậu
庯	U+5EAF	phố
庱	U+5EB1	sưu
庲	U+5EB2	lai
庳	U+5EB3	bánh|bí|bỉ|ty|tì|tý|tỳ|tỷ
庴	U+5EB4	tạ
庵	U+5EB5	am|ải
庶	U+5EB6	thứ
康	U+5EB7	khang|khương
庸	U+5EB8	dong|dung
庹	U+5EB9	thả|thỏa
庻	U+5EBB	thứ
庼	U+5EBC	khoanh|khoảnh
庽	U+5EBD	ngụ
庾	U+5EBE	du|dữu
庿	U+5EBF	miếu
廀	U+5EC0	sưu
廁	U+5EC1	trắc|xí
廂	U+5EC2	rương|sương|tương
廃	U+5EC3	phế
廄	U+5EC4	cứu|ân
廅	U+5EC5	cáp|hạp
廆	U+5EC6	hối
廇	U+5EC7	lựu
廈	U+5EC8	hè|hạ
廉	U+5EC9	liêm
廊	U+5ECA	lang
廋	U+5ECB	dũ|sưu
廌	U+5ECC	trãi|trĩ
廎	U+5ECE	cứu|khoanh|khoảnh
廏	U+5ECF	cứu
廐	U+5ED0	cứu
廑	U+5ED1	cần|cẩn|cận
廒	U+5ED2	ngao
廓	U+5ED3	khoách|khuếch|quách
廔	U+5ED4	lâu
廕	U+5ED5	âm|ấm
廖	U+5ED6	liêu|liệu
廗	U+5ED7	đái
廙	U+5ED9	dặc|dị|dực
廚	U+5EDA	chù|trù
廛	U+5EDB	chờn|triền
廝	U+5EDD	tê|tư
廞	U+5EDE	hâm|hân
廟	U+5EDF	miếu
廠	U+5EE0	hán|xưởng
廡	U+5EE1	vu|vũ
廢	U+5EE2	phế
廣	U+5EE3	khoát|nghiễm|quáng|quảng|yểm
廥	U+5EE5	quái
廧	U+5EE7	tường
廨	U+5EE8	giải|giới
廩	U+5EE9	lẫm
廪	U+5EEA	lẫm
廬	U+5EEC	lô|lư|lữ
廰	U+5EF0	sanh|sảnh|thính
廱	U+5EF1	ung|ủng
廳	U+5EF3	sanh|sảnh|thinh|thính
廴	U+5EF4	dẫn
廵	U+5EF5	tuần
延	U+5EF6	dang|diên|duyên|niển
廷	U+5EF7	đình
廸	U+5EF8	địch
建	U+5EFA	kiến|kiển
廻	U+5EFB	hồi
廼	U+5EFC	nãi
廽	U+5EFD	hồi
廾	U+5EFE	chấp|củng|nhập|trấp
廿	U+5EFF	chấp|khai|nhập|niệm|trấp|trập
开	U+5F00	di|khai
弁	U+5F01	biền|biện|bàn
异	U+5F02	di|dị
弃	U+5F03	khí
弄	U+5F04	lộng
弆	U+5F06	cử|khí
弇	U+5F07	yêm|yểm
弈	U+5F08	dịch
弉	U+5F09	trang|tráng
弊	U+5F0A	tiết|tế|tệ
弋	U+5F0B	dặc|dực
弌	U+5F0C	nhất
弍	U+5F0D	nhị
弎	U+5F0E	tam
式	U+5F0F	thức
弑	U+5F11	thí
弒	U+5F12	thí|thỉ
弓	U+5F13	cung
弔	U+5F14	điếu|đích
引	U+5F15	dấn|dẫn
弗	U+5F17	phất
弘	U+5F18	hoàng|hoằng
弛	U+5F1B	thí|thỉ|trì
弝	U+5F1D	bá
弟	U+5F1F	đễ|đệ
张	U+5F20	trương|trướng
弢	U+5F22	thao|tỷ
弣	U+5F23	phủ
弤	U+5F24	quyên|để
弥	U+5F25	di|mi|nhị
弦	U+5F26	huyền
弧	U+5F27	hồ|o|ô
弨	U+5F28	siêu
弩	U+5F29	nỏ|nỗ
弭	U+5F2D	mị|nhĩ|nhị
弮	U+5F2E	khuyên
弯	U+5F2F	loan
弰	U+5F30	sao
弱	U+5F31	nhược
張	U+5F35	trương|trướng
弶	U+5F36	cương|cưỡng|cắng
強	U+5F37	càng|cường|cưỡng
弸	U+5F38	băng|bằng
弹	U+5F39	đàn|đạn
强	U+5F3A	cương|cường|cưỡng
弻	U+5F3B	bật
弼	U+5F3C	bật|bặt|ngật
弾	U+5F3E	đàn|đạn
彀	U+5F40	cấu
彃	U+5F43	tất
彄	U+5F44	khu
彆	U+5F46	biệt|tệ
彈	U+5F48	đàn|đạn
彉	U+5F49	khoắc
彊	U+5F4A	cương|cường|cưỡng
彌	U+5F4C	di|mi|nhị
彍	U+5F4D	khoắc
彎	U+5F4E	loan
彏	U+5F4F	cược|quặc
彐	U+5F50	kí|ký|kế|kệ|mự|tuyết
彑	U+5F51	ký|kế|kệ
归	U+5F52	quy
当	U+5F53	đang|đáng|đương
彔	U+5F54	lục|thoán
录	U+5F55	lục
彖	U+5F56	soán|thoan|thoán|triện
彗	U+5F57	tuệ
彘	U+5F58	trệ
彙	U+5F59	hối|vị|vựng
彚	U+5F5A	vận|vị|vựng
彛	U+5F5B	di
彜	U+5F5C	di
彝	U+5F5D	di|dị
彞	U+5F5E	di
彟	U+5F5F	hoạch
彠	U+5F60	hoạch
